title,budget,revenue,popularity,vote_average,vote_count,genre_names,release_date,overview,poster_path
"Lula, the Son of Brazil",9500000,3785593,3.605,5.634,71,,2010-01-01,The true story of a working class boy who moves to the nation's financial capital at a young age and becomes one the most influential politicians in Brazilian history.,/n8qp9bs1YMRo8km5s94xkwC4mpe.jpg
Pyaar Ka Punchnama,1400000,7200000,5.373,6.9,71,,2011-05-20,Nishant starts dating Charu while his roommates Rajat and Vikrant already have girlfriends in Neha and Rhea respectively. Trouble starts when the guys feel that their girlfriends are dominating them.,/vKCuXtM3hpsm9kLu1Jlg5E79owb.jpg
The TV Set,2000000,265198,10.712,5.859,71,,2007-04-06,"As a writer named Mike struggles to shepherd his semi-autobiographical sitcom into development, his vision is slowly eroded by a domineering network executive named Lenny who favors trashy reality programming. The irony, of course, is that every crass suggestion Lenny makes improves the show's response from test audiences and brings the show a step closer to getting on the air.",/mqFCmfmJmUcdfDelnjm6qWr3OCA.jpg
Karwaan,3038109,3489863,4.073,7.183,71,,2018-08-03,"Avinash, a dejected soul stuck in a dead-end job shares a strange relationship with his father. He holds him responsible for crushing his dreams. However, he is left pondering upon this longstanding hatred when he hears of his father’s untimely demise.",/dS0ZFlqGbGGksSUdqk7niL7rywc.jpg
Prefontaine,8000000,589304,8.813,6.599,71,,1997-01-24,"It's the true-life story of legendary track star Steve Prefontaine, the exciting and sometimes controversial ""James Dean of Track,"" whose spirit captured the heart of the nation! Cocky, charismatic, and tough, ""Pre"" was a running rebel who defied rules, pushed limits ... and smashed records ...",/3jtG9mgfiZRTRQf19BiUAY6QPN3.jpg
I Hope They Serve Beer in Hell,7000000,1429299,19.883,4.852,71,,2009-09-25,"A tireless and charismatic novelty seeker, Tucker tricks his buddy Dan into lying to his fiancée Kristy, so they can go to an legendary strip club three and a half hours away to celebrate Dan’s last days of bachelorhood in proper style.",/oBBood3JcOu0LQstdL9FeqCxMwa.jpg
Sweat,1619835,11546,6.758,6.5,71,,2021-03-12,"Three days in the life of fitness motivator Sylwia Zając, whose presence on social media has made her a celebrity. Although she has hundreds of thousands of followers, is surrounded by loyal employees and admired by acquaintances, she is looking for true intimacy.",/vjgRx5CXEjJm3rHtLYAAeIvNJ5q.jpg
Twelfth Night,5000000,33000000,9.493,6.817,71,,1996-10-31,"Shakespeare's comedy of gender confusion, in which a girl disguises herself as a man to be near the count she adores, only to be pursued by the woman he loves.",/uMvHIh50LqWJxUK26eYWV10epdq.jpg
The Egyptian,5000000,15000000,9.846,6.2,71,,1954-08-25,"In eighteenth-dynasty Egypt, Sinuhe, a poor orphan, becomes a brilliant physician and with his friend Horemheb is appointed to the service of the new Pharoah. Sinuhe's personal triumphs and tragedies are played against the larger canvas of the turbulent events of the 18th dynasty. As Sinuhe is drawn into court intrigues he learns the answers to the questions he has sought since his birth.",/vYLY2YIGCWINPSzLg6tBiN6ub7X.jpg
Mohenjo Daro,17000000,16000000,5.969,6.254,71,,2016-08-11,"During the Indus valley civilization, an Indigo farmer strives for the justice and protection of the city of Mohenjo-Daro and its civilians from an evil politician.",/3k4ESzzPCQHwjPYJoI489Fk2jZc.jpg
Harry and Tonto,980000,4600000,6.426,7.0,71,,1974-08-12,"Harry is a retired teacher in his 70s living in the Upper West Side of New York City where his late wife and he raised his children--where he's lived all his life. When the building he lives in is torn down to make way for a parking garage, Harry and his beloved cat Tonto begin a journey across the United States, visiting his children, seeing a world he never seemed to have the time to see before, making new friends, and saying goodbye to old friends.",/2JIy2g5UoHBnmNnFpSU7oq5xdTG.jpg
Dark Figure of Crime,7120949,29433930,9.354,6.736,70,,2018-10-03,"A serial killer is caught for his seventh murder. A cop tries to solve the first six cases with the killer's help, but starts to suspect that he has ulterior motives. Based on a true story.",/uWislqbyIFvR02uN4n20zjDnAm2.jpg
Ajami,1000000,1331651,4.311,7.1,70,,2009-09-17,"Ajami is an area of Tel Aviv in Israel where Arabs, Palestinians, Jews and Christians live together in a tense atmosphere. Omar, an Israeli Arab, struggles to save his family from a gang of extortionists. He also courts a beautiful Christian girl: Hadir. Malek, an illegal Palestinian worker, tries to collect enough money to pay for his mother's operation. Dando, an Israeli cop, does his utmost to find his missing brother who may have been killed by Palestinians.",/qQ8KY7e8O5U4HXX0JPJDM0JI39S.jpg
Kóblic,3500000,1839313,4.689,6.071,70,,2016-04-14,"Colonia Helena, Argentina. The mysterious Tomás Kóblic, a former Navy pilot, works as a fumigator while dealing with his dark past and the intrigues of the corrupt police commissioner…",/aTpSCZ8VaqSyUkI3PhEQIHnYzbC.jpg
Meet the Deedles,24000000,4562146,7.549,4.45,70,,1998-03-27,Two surfers end up as Yellowstone park rangers and have to stop a former ranger who is out for revenge.,/fJw73MvTkSdYloesTQSS1zi3IsL.jpg
I Hate Luv Storys,4400000,12000000,4.509,6.0,70,,2010-06-30,"Simran loves love stories, with her ideal job and perfect boyfriend, she lives a blissful and dreamy life. However, things are rudely interrupted by Jay's cynicism on sentimentality.",/fNw2XEa4jKxQ5AURNU9JfgkeuUG.jpg
Black Dawn,16000000,63709,9.023,4.079,70,,2005-12-27,"Jonathan Cold returns, this time he goes Undercover to stop a group of Terrorists before they bomb Los Angeles.",/jUqyNMJQ45fRsIiIqU5TlcJnpif.jpg
The Dirty Picture,2600000,17000000,7.688,6.229,70,,2011-12-02,"After running away from home in search of movie stardom, a village girl rises to become a prominent sex symbol.",/oebs05w6hggeleB0F28uerrzvkq.jpg
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,724805,2616000,6.121,6.436,70,,1953-08-01,"Abbott and Costello, two bumbling American cops on exchange in London, hunt for Mr. Hyde—the monster that has been terrorizing the city.",/spZzSuujqiYHMK5pIvJOS5LDYD0.jpg
Racing with the Moon,9000000,6045657,8.402,6.117,70,,1984-03-23,"In a small coastal California town, Henry and Nicky are pals from blue collar families with only a short time before they ship off to World War II. Henry begins romancing new-to-town Caddie Winger, believing her to be wealthy. Mischievous and irresponsible, Nicky gets into trouble which forces the other two to become involved, testing their relationship, as well as the friendship between the boys.",/BiQhuJJTUS2TuG7Ln7K8w0MebX.jpg
In Like Flint,3775000,11000000,7.93,6.1,70,,1967-03-15,"Flint is again called out of retirement when his old boss finds that he seems to have missed 3 Minutes while golfing with the President. Flint finds that the President has been replaced by an actor (Flint's line [with a wistful look] is ""An Actor as President?"") Flint finds that a group of women have banded together to take over the world through subliminal brainwashing in beauty salons they own.",/fnZyHB7SdfZSlQJmw6PVhzsebIr.jpg
Three Wishes,10000000,7027000,9.793,6.179,70,,1995-10-27,"While Jane Holman is driving with her two sons, she accidentally runs into a drifter, Jack McCloud, who breaks his leg. Being responsible, Jane invites Jack, and his dog, to stay at her home until his leg has healed. Jack struggles to adapt their lifestyle, and finds himself loved by the family.",/5RjnorXfyCXPj6fnuXgdcFrb4gv.jpg
Kitchen in Paris,2300000,13969785,6.207,6.7,70,,2014-05-01,"The employees of the famous Russian ""Claude Monet"" restaurant are forced to move their business to Paris.",/kGOqhca9e507EZYuGrtG94N61aJ.jpg
Heartthrob,4000000,90000000,5.264,5.307,70,,2017-10-10,"Sam Maddox, a troubled girl whose father committed suicide, has earned a reputation at her high school for being a bit promiscuous. When Sam begins seeing brilliant, MIT-bound Henry Sinclair, the two opposites really attract. Although Sam doesn't realize it, Henry is in the grip of an insane romantic obsession, and he will kill anyone who tries to put an end to his star-crossed - and increasingly deadly - romance.",/z3m4YQcVri8JY6XywyqdSTjUwvw.jpg
The Zombie Diaries,9300,2000000,6.077,4.293,70,,2006-10-29,"In the early part of the 21st Century, an unknown virus began spreading among the populous. Within weeks it had engulfed the entire planet, from the smallest communities to the greatest cities. Upon the death of its host, the virus would reanimate the corpse until it was no longer able to support itself. Soon the planet was infested with a new threat - the undead. So begins our journey into the dystopian world of the zombie diaries.",/mhThzAHVjdK5VWdLwosbbHIO11N.jpg
Mississippi Masala,8000000,7310000,7.421,6.286,70,,1991-09-18,"Years after her Indian family was forced to flee their home in Uganda, twentysomething Mina finds herself helping to run a motel in the faraway land of Mississippi. It's there that a passionate romance with the charming Black carpet cleaner Demetrius challenges the prejudices of their conservative families and exposes the rifts between the region's Indian and African American communities.",/8MQmj7Zzxsic85mJOwKbdkwEjpE.jpg
Act of Violence,1290000,1129000,6.289,6.9,70,,1948-12-21,"A former prisoner of war, Frank Enley is hailed as a hero in his California town. However, Frank has a  shameful secret that comes back to haunt him when fellow survivor Joe Parkson emerges, intent on making Frank pay for his past deeds.",/oyHQKdZxUkjEbaxZ4BIWgrN02gS.jpg
Club Paradise,15000000,12308521,8.643,5.109,70,,1986-07-11,"When Chicago firefighter Jack Moniker retires and moves to a small Caribbean island, he is befriended by the owner of a run-down resort. Together they renovate the resort and lure tourists to Club Paradise in an effort to fight off corrupt officials and businessmen who want to claim the resort as their own.",/y79MRJPUH5zV8doA9uunDV0G9PU.jpg
Good Guys Wear Black,1000000,18300000,6.912,5.236,70,,1978-06-01,"The former leader of a commando rescue attempt into Vietnam tries to discover why his squad members are being murdered, one-by-one, after the war is over.",/qe6YEwpegOGzXhmGS7Xkwz9XxVR.jpg
Accidents Happen,6000000,36857,4.386,5.8,70,,2009-04-23,"There are dysfunctional families... and then there are the Conways. After a family tragedy, 15-year-old Billy Conway has become the de facto glue between his bitter mom, distant brother, and stoic dad. But when Billy starts to act out, everything changes for him and his family",/4kHwB7LX2SZRa2iFR8de36n71e1.jpg
Doraemon: Nobita and the Space Heroes,46597700,32700000,9.046,6.283,69,,2015-03-07,"One day Doraemon, Nobita, Shizuka, Gian and Suneo were shooting a film as space heroes. When they were shooting the film in the open lot a boy called Aron comes and alerts them of aliens attacking his planet. They agree to help him by turning into real superheroes, but it isn't as easy as it looks.",/TwUuZfp6fbwnnbLyXJyulOeXYP.jpg
The Lords of Flatbush,160000,4000000,14.96,5.681,69,,1974-05-01,"Set in 1958, the coming of age story follows four lower middle-class Brooklyn teenagers known as The Lords of Flatbush. The Lords chase girls, steal cars, shoot pool, get into street fights, and hang out at a local malt shop.",/zmXNjWFK4zlkStngN2qdVZ9Vprh.jpg
Kabali,18700000,74000000,5.708,6.0,69,,2016-07-22,A gangster in Malaysia goes in search of his family after 25 years of imprisonment.,/4Lv06mGw6Lfw3HKHVCj7ssIckvA.jpg
Your Friends & Neighbors,5000000,4710749,7.675,5.826,69,,1998-02-04,"This adult comedy follows six characters, three men and three women from a cross-section of social groups, as they play sexual power games. When an affair fires up between 2 of the married characters, it sparks a chain of consequences for all of them, including one of the wives falling for another woman!",/g8u6Hx7F7V2gFr5ddyLQPzQ8f3t.jpg
After Everything,14000000,3280152,474.472,6.768,69,,2023-09-13,"Besieged by writer’s block and the crushing breakup with Tessa, Hardin travels to Portugal in search of a woman he wronged in the past – and to find himself. Hoping to win back Tessa, he realizes he needs to change his ways before he can make the ultimate commitment.",/gZLGCibvFY4zmt8sWUZcbBTHRtk.jpg
The Giant Spider Invasion,300000,15000000,5.926,4.022,69,,1975-10-01,"A black hole hits North Wisconsin and opens a door to other dimensions. Giant 15 meter spiders emerge from it, who have an appetite for human flesh! Dr. Jenny Langer and Dr. Vance from NASA try to save the world.",/pdD0zSAiHpX2TEz4uuVdMB3KkGB.jpg
Big Bully,15000000,2042530,10.225,4.58,69,,1996-01-26,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",/dws3JR4Yi325Tz33XnuXEB6XjGr.jpg
Half Girlfriend,7445000,12805400,4.958,6.5,69,,2017-05-18,"A boy meets a girl named Riya and falls in love. After struggling to convince her to be his girlfriend, she half-heartedly agrees to be his `half-girlfriend'.",/jvacZc9CVkjCA25ds4UqnOWbSpV.jpg
The Hallelujah Trail,7000000,4000000,9.074,5.993,69,,1965-06-23,"A wagon train heads for Denver with a cargo of whisky for the miners. Chaos ensues as the Temperance League, the US cavalry, the miners and the local Indians all try to take control of the valuable cargo.",/AnOZ6NN9PKCVMxSDOR7gjmklSWa.jpg
Atlas Shrugged Part III: Who Is John Galt?,5000000,846704,11.876,4.275,69,,2014-09-12,"Approaching collapse, the nation's economy is quickly eroding. As crime and fear take over the countryside, the government continues to exert its brutal force against the nation's most productive who are mysteriously vanishing - leaving behind a wake of despair. One man has the answer. One woman stands in his way. Some will stop at nothing to control him. Others will stop at nothing to save him. He swore by his life. They swore to find him.",/wR7NM125F63zxECZKCVMzibkWpZ.jpg
Kinjite: Forbidden Subjects,5000000,3416846,11.208,5.449,69,,1989-02-03,A brutal Los Angeles police lieutenant is determined to bust up an organization that forces underage girls into prostitution.,/uHfPlhkgzGlbBuPobY4a3zEAOX5.jpg
Margarita with a Straw,900000,1000000,6.206,6.928,69,,2015-04-17,"A rebellious young woman with cerebral palsy leaves India to study in New York. On her journey of self-discovery, she unexpectedly falls in love.",/cY2MKU0EBZye6wAfWadA3oecy8O.jpg
Oye Lucky! Lucky Oye!,1400000,1700000,4.554,7.014,69,,2008-11-28,"Lovinder Singh, a thief now in custody and facing trial, reflects on his life of crime while the press reflect on how he managed to get away with so much before being arrested.",/b51jXYaPbRAZegOkShdc7jWBsfZ.jpg
The New Adventures of Pippi Longstocking,5000000,3569939,11.933,5.681,69,,1988-07-06,"After her father's ship is carried off by a sudden storm, the spunky Pippi Longstocking is stranded with her horse, Alfonso,and her pet monkey, Mr. Neilson, and takes up residence in the old family home, which is thought by neighborhood children to be haunted. Soon, two children, Tommy and his sister Anika, venture into the house only to meet up with Pippi. The three soon become friends and get into various adventures together, including cleaning the floor with scrubbing shoes, dodging the ""splunks"", going down a waterfall in barrels, and helping Pippi with the problem of having to go to an orphanage. Older children will probably get the most out of this movie.",/up4QvEZyrcVRZfBvVvv0RXd2Gn7.jpg
Speed Zone,18000000,3077361,15.335,4.457,69,,1989-04-21,"An illegal race that takes place over the United States and nothing will stop this bunch of racers except for the occasional cop or a damsel in distress. Jackie Chan's car is not in this one, but many new cars make up for that. Who will win? Who will crash? Who will not even finish? Sit down and buckle up for the ride of your life.",/cmAgnjrH7TlKjYUpS9NMGMlbkre.jpg
Spy Cat,9000000,3882729,8.201,6.812,69,,2019-04-11,"Four crazy antiheroes on the run. Their leader is the unworldly innocent, naive Marnie, a house cat who is not allowed to leave the house and only knows about real life from television",/lU2Cx5lbSNMxgeKQPDOhAUdw91y.jpg
Thomas and the Magic Railroad,19000000,19748009,13.594,5.5,69,,2000-07-14,"Mr. Conductor's supply of magic gold dust, which allows him to travel between Shining Time and Thomas's island, is critically low. Unfortunately, he doesn't know how to get more. Meanwhile, Thomas is fending off attacks by the nasty diesel engines. Getting more gold dust will require help from Mr. C's slacker cousin, his new friend Lily and her morose grandfather, plus the secret engine.",/aPEJ36e8a7gLu28KVfsGDQdmruk.jpg
Heaven's Prisoners,25000000,5009305,7.822,5.14,68,,1996-05-17,"A hardened New Orleans cop, Dave Robicheaux, finally tosses in the badge and settles into life on the bayou with his wife. But a bizarre plane crash draws him back into the fray when his family is viciously threatened.",/yUWVNHA3dVc1CmxNIcXZWqbqWc8.jpg
I Dreamed of Africa,34000000,14400327,7.365,5.5,68,,2000-05-05,"Inspired by the true story of indomitable Kuki Gallmann, the film tells of a beautiful and inquisitive woman who had the courage to escape from her comfortable yet monotonous life in Italy to start anew in the African wilderness with her son, Emanuele, and her new husband, Paolo. Gallmann faces great danger there but eventually becomes a celebrated conservationist.",/kuDIrcsUI0duLSTUgKKLKEiEdrK.jpg
Lootera,4100000,5100000,6.317,6.928,68,,2013-04-04,"In a village, a young archaeologist falls in love with a landlord's daughter. Their union seems doomed. But destiny brings them together a year later. Will they live happily ever after?",/qirqvVPQt1vrC2QZyCGLyeLuTO.jpg
The Molly Maguires,11000000,2200000,9.901,6.3,68,,1970-02-08,"Schuylkill County, Pennsylvania, 1876. A secret society of Irish coal miners, bond by a sacred oath, put pressure on the greedy and ruthless company they work for by sabotaging mining facilities in the hope of improving their working conditions and the lives of their families.",/oC5HRUjTwooMCIYSPS5biOeWoGK.jpg
Airborne,2600000,2850263,7.832,5.912,68,,1993-09-17,"Good-natured teen surfer Mitchell Goosen finds himself staying with his aunt and uncle in Cincinnati, Ohio when his parents head to Australia for work. There he meets his cousin, Wiley, and together they try to navigate the perils of high school—avoid the bullies, get the girl, and win a little respect.",/4TPCzvOoQmmParPjgHCiqqiVYIJ.jpg
Donkey X,18000000,7365250,8.336,5.515,68,,2007-12-05,"The donkey, Rucio, tells the true story of Don Quixote and defends the idea that he wasn't insane, but a very intelligent, passionate and enthusiastic fellow.",/ysicR8T5LLgVgzE5zG7paKJ2UHd.jpg
Charlie,1900000,5900000,4.977,7.456,68,,2015-12-24,"A young, nonconforming woman named Tessa gets entangled in a cat-and-mouse chase in the by-lanes of Kerala, hunting for a mysterious artist who previously lived in her apartment.",/kQo30LL8punEsJu5kMZzJydQYJo.jpg
Treehouse,3250000,3250000,5.051,4.338,68,,2014-10-20,A teenage boy discovers the perpetrators of several brutal kidnappings in his home town.,/6kOvkJDDi9qghFrQEkYlv2MDksq.jpg
Vixen!,73000,8000000,17.023,5.336,68,,1968-10-15,"Vixen lives in a Canadian mountain resort with her naive pilot husband. While he's away flying in tourists, she gets it on with practically everybody including a husband and his wife, and even her biker brother. She is openly racist, and she makes it clear that she won't do the wild thing with her brother's biker friend, who is black.",/9KMZWDA3xTrlgrScqdMisINQmsh.jpg
Salvation Boulevard,5500000,89182,5.052,5.37,68,,2011-07-15,Set in the world of mega-churches in which a former Deadhead-turned-born again-Christian finds himself on the run from fundamentalist members of his mega-church who will do anything to protect their larger-than-life pastor.,/q8kPPcpPUGhdAOP5LYHDMKZBXYP.jpg
Warriors of the Rainbow: Seediq Bale - Part 2: The Rainbow Bridge,25000000,29000000,10.071,8.11,68,,2011-09-30,"After the uprising at Wushe, Mona Rudao faces a guerrilla war against the militarily superior Japanese and Seediq clans. He and his followers must fight for their dignity and honor so that they can truly be ""Seediq Bale"" or ""real men."" Warriors of the Rainbow: Seediq Bale - Part 2: The Rainbow Bridge is Part two of the two-part, four-hour Taiwanese edition of the film Warriors of the Rainbow.",/wrgpoEhfgptkYGtIxEaYqlxChv8.jpg
City of Industry,8000000,1568258,8.748,5.463,68,,1997-03-14,"A retired thief swears revenge on the lunatic who murdered his brother and partner, while going on the run with the loot they stole.",/mbiU7eeg4TNqIUY3bK0YcQqfhtq.jpg
Stay Hungry,5000000,24854765,11.536,5.654,68,,1976-04-23,"A dishonest businessman asks rich layabout Craig Blake to help him buy a gym, which will be demolished for a development project in Alabama. But after spending time with weightlifter Joe Santo and gym worker Mary Tate Farnsworth, Craig wants out of the deal. The property negotiations turn ugly, causing a brawl at the gym and a spectacle at a big bodybuilding meet, as Craig learns that it's not easy to turn your back on fair-weather friends.",/6WNMcRYtk74QNL53ZxVIDjpBbzF.jpg
Shooting Fish,3000000,302204,6.749,6.276,67,,1997-08-22,Two con artists hire an unwitting medical-school student (Kate Beckinsale) as a secretary for their latest scam.,/dZpmEHrdxlJyJFf8lwfgKSXBk6X.jpg
Jawan,36150000,128690264,52.487,7.4,67,,2023-09-07,"An emotional journey of a man who is set to rectify the wrongs in society, in an attempt to get even with his past, driven by a personal vendetta while keeping up to a promise made years ago.",/w4mPBAfZS5yIXOcqEiEOL8fnuQG.jpg
Shakes the Clown,1400000,115103,6.539,5.575,67,,1991-08-28,"Shakes plods about his duties as party clown, and uses all of his free time getting seriously drunk. Binky, another clown, wins the spot on a local kiddie show, which depresses Shakes even more, and his boss threatens him with unemployment if he can't get his act under control.",/nfTWQ7GfH462FVmYEGQB1oHR6H4.jpg
The White Countess,16000000,4092682,8.373,6.299,67,,2005-10-30,"In 1930s Shanghai, 'The White Countess' is both Sofia—a fallen member of the Russian aristocracy—and a nightclub created by a blind American diplomat, who asks Sofia to be the centerpiece of the world he wants to create.",/65AKidOOKrfyQkiVYtkgDJVM4CA.jpg
Absolon,8000000,7016,9.11,4.157,67,,2003-03-10,"In the near future, a virus has infected everyone on the planet, and Absolon is a drug that everyone must take to stay alive. One corporation controls the drug. Murchison is the leader of this firm. A scientist who was researching the virus is found murdered, and Norman Scott is the policeman who investigates the crime.",/pLhakprIzI0nXDpwwgJ04XiYcFM.jpg
Um Suburbano Sortudo,6000000,11600000,3.28,5.8,67,,2016-02-11,,/2tTCqf8xjgnoiYEOi62bIDHC5zr.jpg
NH10,200000,5100000,4.788,6.8,67,,2015-03-12,"Meera and Arjun are professionals living in Gurgaon. On their way to a luxurious desert holiday they stop on a Highway dhaba for dinner, where they witness a young girl being picked up by a bunch of hoodlums. Arjun chooses to step in, unmindful of the danger ahead.",/1PPUgbQE9UVrgPyMif8urLSIKWb.jpg
Death of a President,2000000,167000,4.879,5.567,67,,2006-10-27,"A fictional investigative documentary looks back on the ""assassination"" of George W. Bush and attempts to answer the question of who committed the murder. Perhaps less morbid and disturbing to watch now than during Bush's presidency, the film doesn't address Bush's policies at all, instead focusing on the way a nation assigns blame in a time of crisis.",/wX7DyNdbQ5B0IxykO0Phtxdun9p.jpg
Ala Vaikunthapurramuloo,14000000,28859072,8.167,6.8,67,,2020-01-12,"Fate plays a vital role in connecting the life of Bantu, a son who seeks validation from his cold-hearted father with the life of Raj, whose millionaire father wishes that he was more assertive.",/48DIQOSEgpoWUFBrmHW2En6aNZQ.jpg
Vibes,1884000,1883811,7.261,5.72,66,,1988-08-05,"Medium Sylvia Pickel and psychometrist Nick Deezy meet at a psychic research facility in New York. Not long after, they're contacted by Harry Buscafusco, who offers them $50,000 to find his lost son in South America, in the heart of Incan territory where they discover an ancient mystical secret, and each other.",/yAT8QJquco2dGBEwqQJBLfP7wtM.jpg
Philadelphia Experiment II,5000000,2970,5.841,4.955,66,,1993-11-12,"It is several years after the events of the first movie, and David Herdeg (the survivor of the Philadelphia Experiment from the first film) and Allison (the woman from 1984 he fell in love with) have married and have a child. David awakes, in agony, to a changed world. Germany won World War II and the United States is now about to mark 50 years as a Nazi conquest.",/rfxDtw7hrVLR9Wq8JXw8KkoWTjI.jpg
The Turkish Gambit,4000000,18520000,5.568,6.485,66,,2005-02-22,"The film is based on the second book from the Adventures of Erast Petrovich Fandorin series of novels written by the Russian author Boris Akunin. The film takes place in 1877 during the Russian-Turkish war. Erast Fandorin has just escaped from Turkish prison and is trying to get on the Russian side as soon as possible to give important information about the upcoming attack of the enemy. On his way he meets Varvara Suvorova, a young lady who is going to see her fiancée - a soldier of the Russian army. Erast also knows that there is a spy somewhere in the Russian army, everyone is under suspicion.",/sgHkvzl6mcgorOQtr3Dt0Ppf18n.jpg
Real Women Have Curves,3000000,7700000,9.559,6.045,66,,2002-10-18,"Freshly graduated from high school, Ana receives a full scholarship to Columbia University. Her very traditional, old-world parents feel that now is the time for Ana to help provide for the family, not the time for college.",/ziemD3ATULYKt399FkO1ZhAwrOH.jpg
Pharaoh,10000000,10000000,7.47,6.78,66,,1966-03-11,"Young Pharaoh Ramses XIII clashes with Egypt's clergy over influence on the affairs of the state and its coffers. inexperienced, but quite ambitious pharaoh is putting up a fight against a powerful clan of priests usurping rule over the country.",/8ipkoxt3yvYeLuHfxPhaRaQCgwX.jpg
For the Boys,40000000,23202444,8.906,6.242,66,,1991-11-22,"On a USO tour during World War II, entertainer Eddie Sparks needs a partner to round out his act. Soon after hiring performer Dixie Leonard, Eddie decides he wants her out of the show — mostly because she upstages him. Dixie is close to leaving of her own accord, but her uncle, Art Silver, convinces her to stay. As the years and wars go by, Eddie and Dixie experience a tumultuous relationship onstage and off while they continue the act for the troops.",/7cMupruGQjcm43mC30fTazT7pOe.jpg
The Continent,7300000,9166810,4.753,6.129,66,,2014-07-24,"Three men living in the Eastern most island of China go on a road trip to the Western most end of the country, and facing crises of love, friendship, and faith on their journey to the West.",/uDAQEq5uLeTJoY2ID4MUZeeVGIC.jpg
Money for Nothing,11000000,1044824,5.954,5.455,66,,1993-09-10,"When unemployed dockworker Joey Coyle finds $1.2 million that fell off of an armored car, he decides to do the logical thing: take the money and run. After all, he says, finders keepers. He turns to his ex-girlfriend Monica, who works in an investment firm, for advice, before turning to the mob for help laundering the money. While Joey makes plans to leave the country, however, a detective is following his ever-warmer trail in order to recover the cash.",/xkof6yO3w4aaLmpD9EHjw8Uk22w.jpg
The Wild Soccer Bunch 4,5833536,18873863,5.845,5.417,66,,2007-02-01,"With the victory against ""The Beastly Beasts"", ""The Wild Soccer Bunch"" showed it to everyone and then won every single game. Only one victory now separates them from the ""Pott"", the Freestyle Soccer Cup. For this they have to compete against the ""Wolves of Ragnarök"". But the wolves are not normal opponents! They have a dark secret - and behind them lurks a power stronger than all of them: the girl Horizon and the ""Silver Lights"" from the fog...",/hfTuyoAIE6KtrrwAW26NXBXVFJI.jpg
Sin,15000000,243043,3.9,5.985,66,,2019-11-14,The life of Michelangelo Buonarroti.,/A1AoTiokDbsyrsGBCGVvPWq5pJp.jpg
Slow Burn,15500000,1237615,6.863,5.348,66,,2005-09-12,"A district attorney (Ray Liotta) is involved in a 24-hour showdown with a gang leader (LL Cool J) and is, at the same time, being manipulated by an attractive assistant district attorney (Jolene Blalock) and a cryptic stranger.",/ho43ENDjPpkuMZvBsGTV1STFFik.jpg
Down Terrace,31192,10000,4.533,6.159,66,,2010-07-30,"After serving jail time for a mysterious crime, Bill and Karl get out of jail and become preoccupied with figuring out who turned them in to the police. On top of that, the ""family business"" is on the rocks, and the motley crew of criminals who operate out of Down Terrace aren't feeling terribly trusting of one another. It might look like an ordinary house, but at Down Terrace, the walls are closing in..",/2WMwkZ4Qmsi3X6WvfjvBsC1er6F.jpg
Scenes from a Mall,3000000,9563393,5.273,5.2,66,,1991-02-22,"A comedy about a married couple -- he's a sports lawyer, she's a psychologist -- which takes place on their 16th wedding anniversary, when they make some startling confessions.",/roF5MQlNBFSV0K3s9ThBPIBglO5.jpg
Houseguest,10500000,26325256,6.725,5.477,66,,1995-01-06,"In hot water with the mob over an unpaid debt, a con man poses as a family friend in an affluent Pennsylvania suburb.",/cdiHlZho11EEqD3aPanYe1rEYRB.jpg
Poison,250000,609524,3.722,6.144,66,,1991-04-05,"A boy shoots his father and flies out the window. A man falls in love with a fellow inmate in prison. A doctor accidentally ingests his experimental sex serum, wreaking havoc on the community.",/MW47kViKJcFtt8hQV3EYaOw6zI.jpg
What a Way to Go!,20000000,13298000,8.075,7.1,66,,1964-10-12,"A four-time widow discusses her four marriages, in which all of her husbands became incredibly rich and died prematurely because of their drive to be rich.",/6fuRkL3OhoeubEOULCMVJsUTaAU.jpg
Spaced Invaders,3000000,15369573,7.374,4.879,66,,1990-04-27,"A crew of Martians overhears a radio broadcast of Orson Welles' ""War of the Worlds"" coming from Earth, and, thinking the Martian fleet is attacking Earth, they land their broken-down ship in a backwater mid-American town. As luck would have it, they land on Halloween and get mistaken for trick-or-treaters. Comedy ensues as the Martians try to get taken seriously.",/vchyoV7mnaUd46meVO81yolXH2D.jpg
Wolfhound of the Grey Dog Clan,20000000,21573338,7.912,5.447,66,,2006-12-28,"He was doomed to die, but managed to survive, and now his mission is to revenge for the annihilation of his tribe. He is the great warrior who calls himself Volkodav, and is the last man from the tribe of Serie Psi (Grey Hounds). After escaping certain death, Volkodaw — accompanied by Neletuchaya Mysh — is on a mission to kill Ludoed who is responsible to what happened to Serie Psi.",/7uWSweoe5ykaxpEmXvzaEOHQFl7.jpg
Shanghai Surprise,17000000,2315683,7.398,4.318,66,,1986-08-29,"Glendon Wasey is a fortune hunter looking for a fast track out of China. Gloria Tatlock is a missionary nurse seeking the curing powers of opium for her patients. Fate sets them on a hectic, exotic, and even romantic quest for stolen drugs. But they are up against every thug and smuggler in Shangai.",/8zsU3Vq9FG9Q0kTEYrl0CWDlvX2.jpg
